"ApkName","FieldName","OriginalText","TranslatedText",
"Launcher2.apk","accessibility_all_apps_button","Apps","应用",
"Launcher2.apk","accessibility_delete_button","Remove","删除",
"Launcher2.apk","delete_zone_label_all_apps_system_app","Uninstall update","卸载更新",
"Launcher2.apk","menu_add","Add","添加",
"Launcher2.apk","menu_manage_apps","Manage apps","管理应用",
"Launcher2.apk","menu_wallpaper","Wallpaper","壁纸",
"Launcher2.apk","menu_search","Search","搜索",
"Launcher2.apk","menu_notifications","Notifications","通知",
"Launcher2.apk","menu_settings","System settings","系统设置",
"Launcher2.apk","menu_help","Help","帮助",
"Launcher2.apk","cab_menu_delete_app","Uninstall app","卸载该应用",
"Launcher2.apk","cab_menu_app_info","App details","应用详情",
"Launcher2.apk","cab_app_selection_text","1 app selected","选中了 1 个应用",
"Launcher2.apk","cab_widget_selection_text","1 widget selected","已选中 1 个窗口小部件",
"Launcher2.apk","cab_folder_selection_text","1 folder selected","已选中 1 个文件夹",
"Launcher2.apk","cab_shortcut_selection_text","1 shortcut selected","已选中 1 个快捷方式",
"Launcher2.apk","permlab_install_shortcut","install shortcuts","安装快捷方式",
"Launcher2.apk","permdesc_install_shortcut","Allows an app to add shortcuts without user intervention.","允许应用自行添加快捷方式。",
"Launcher2.apk","permlab_uninstall_shortcut","uninstall shortcuts","卸载快捷方式",
"Launcher2.apk","permdesc_uninstall_shortcut","Allows the app to remove shortcuts without user intervention.","允许应用自行删除快捷方式，而无需用户干预。",
"Launcher2.apk","permlab_read_settings","read Home settings and shortcuts","读取主屏幕的设置和快捷方式",
"Launcher2.apk","permdesc_read_settings","Allows the app to read the settings and shortcuts in Home.","允许应用读取主屏幕中的设置和快捷方式。",
"Launcher2.apk","permlab_write_settings","write Home settings and shortcuts","写入主屏幕的设置和快捷方式",
"Launcher2.apk","permdesc_write_settings","Allows the app to change the settings and shortcuts in Home.","允许应用更改主屏幕中的设置和快捷方式。",
"Launcher2.apk","gadget_error_text","Problem loading widget","载入窗口小部件时出现问题",
"Launcher2.apk","uninstall_system_app_text",""This is a system app and can't be uninstalled."","这是系统应用，无法卸载。",
"Launcher2.apk","dream_name","Rocket Launcher","Rocket Launcher",
"Launcher2.apk","folder_hint_text","Unnamed Folder","未命名文件夹",
"Launcher2.apk","workspace_description_format","Home screen %1$d","主屏幕 %1$d",
"Launcher2.apk","default_scroll_format","Page %1$d of %2$d","第 %1$d 页，共 %2$d 页",
"Launcher2.apk","workspace_scroll_format","Home screen %1$d of %2$d","主屏幕 %1$d（共 %2$d 个）",
"Launcher2.apk","apps_customize_apps_scroll_format","Apps page %1$d of %2$d","应用：第 %1$d 页，共 %2$d 页",
"Launcher2.apk","apps_customize_widgets_scroll_format","Widgets page %1$d of %2$d","窗口小部件：第 %1$d 页，共 %2$d 页",
"Launcher2.apk","workspace_cling_title","Make yourself at home","您的主屏幕您做主",
"Launcher2.apk","workspace_cling_move_item","You can put your favorite apps here.","您可以在此处放置自己喜爱的应用。",
"Launcher2.apk","workspace_cling_open_all_apps","To see all your apps, touch the circle.","要查看您的所有应用，请触摸该圆圈。",
"Launcher2.apk","all_apps_cling_title","Choose some apps","选择一些应用",
"Launcher2.apk","all_apps_cling_add_item","To add an app to your Home screen, touch & hold it.","要将某个应用添加到主屏幕，请触摸并按住该应用。",
"Launcher2.apk","folder_cling_title","Organize your apps with folders","使用文件夹整理应用",
"Launcher2.apk","folder_cling_move_item","To move an app, touch & hold it.","要移动应用，请触摸并按住该应用。",
"Launcher2.apk","folder_cling_create_folder","To make a new folder on your Home screen, stack one app on top of another.","要在主屏幕上创建新文件夹，请将一个应用叠放到另一个上。",
"Launcher2.apk","cling_dismiss","OK","确定",
"Launcher2.apk","folder_opened","Folder opened, %1$d by %2$d","文件夹已打开，尺寸为 %1$d × %2$d",
"Launcher2.apk","folder_tap_to_close","Touch to close folder","触摸可关闭文件夹",
"Launcher2.apk","folder_tap_to_rename","Touch to save rename","触摸可保存重命名",
"Launcher2.apk","folder_closed","Folder closed","文件夹已关闭",
"Launcher2.apk","folder_renamed","Folder renamed to %1$s","已将文件夹重命名为“%1$s”",
"Launcher2.apk","folder_name_format","Folder: %1$s","文件夹：%1$s",
"ApplicationsProvider.apk","app_label","Search Applications Provider","搜索应用提供商",
"ApplicationsProvider.apk","search_label","Apps","应用",
"ApplicationsProvider.apk","application_desc","Application","应用",
"ApplicationsProvider.apk","settings_description","Names of installed applications","已安装的应用的名称",
"Settings.apk","yes","Yes","是",
"Settings.apk","no","No","无",
"Settings.apk","create","Create","创建",
"Settings.apk","device_info_default","Unknown","未知",
"Settings.apk","header_category_wireless_networks","WIRELESS & NETWORKS","无线和网络",
"Settings.apk","header_category_device","DEVICE","设备",
"Settings.apk","header_category_personal","PERSONAL","个人",
"Settings.apk","header_category_system","SYSTEM","系统",
"Settings.apk","turn_on_radio","Turn on radio","打开无线通信",
"Settings.apk","turn_off_radio","Turn off radio","关闭无线通信",
"Settings.apk","sms_over_ims_on","Turn on SMS over IMS","启用通过 IMS 发送短信的功能",
"Settings.apk","sms_over_ims_off","Turn off SMS over IMS","停用通过 IMS 发送短信的功能",
"Settings.apk","ims_reg_required_on","Turn on IMS registration required","需要打开 IMS 注册",
"Settings.apk","ims_reg_required_off","Turn off IMS registration required","需要关闭 IMS 注册",
"Settings.apk","lte_ram_dump_on","Turn on lte ram dump","打开 LTE RAM 转储",
"Settings.apk","lte_ram_dump_off","Turn off lte ram dump","关闭 LTE RAM 转储",
"Settings.apk","radioInfo_menu_viewADN","View SIM address book","查看 SIM 卡地址簿",
"Settings.apk","radioInfo_menu_viewFDN","View Fixed Dialing Numbers","查看固定拨号",
"Settings.apk","radioInfo_menu_viewSDN","View Service Dialing Numbers","查看服务拨号",
"Settings.apk","radioInfo_menu_getPDP","Get PDP list","获取 PDP 列表",
"Settings.apk","radioInfo_service_in","In service","正在使用中",
"Settings.apk","radioInfo_service_out","Out of service","不在服务区",
"Settings.apk","radioInfo_service_emergency","Emergency calls only","仅限于急救或报警电话",
"Settings.apk","radioInfo_service_off","Radio off","关闭无线通信",
"Settings.apk","radioInfo_roaming_in","Roaming","漫游",
"Settings.apk","radioInfo_roaming_not","Not roaming","非漫游",
"Settings.apk","radioInfo_phone_idle","Idle","空闲",
"Settings.apk","radioInfo_phone_ringing","Ringing","响铃",
"Settings.apk","radioInfo_phone_offhook","Call in progress","正在通话",
"Settings.apk","radioInfo_data_disconnected","Disconnected","已断开连接",
"Settings.apk","radioInfo_data_connecting","Connecting","正在连接",
"Settings.apk","radioInfo_data_connected","Connected","已连接",
"Settings.apk","radioInfo_data_suspended","Suspended","已暂停",
"Settings.apk","radioInfo_unknown","unknown","未知",
"Settings.apk","radioInfo_display_packets","pkts","pkts",
"Settings.apk","radioInfo_display_bytes","bytes","字节",
"Settings.apk","radioInfo_display_dbm","dBm","dBm",
"Settings.apk","radioInfo_display_asu","asu","asu",
"Settings.apk","radioInfo_lac","LAC","LAC",
"Settings.apk","radioInfo_cid","CID","CID",
"Settings.apk","sdcard_unmount","Unmount SD card","卸载 SD 卡",
"Settings.apk","sdcard_format","Erase SD card","格式化 SD 卡",
"Settings.apk","small_font","Small","小",
"Settings.apk","medium_font","Medium","中",
"Settings.apk","large_font","Large","大",
"Settings.apk","font_size_save","OK","确定",
"Settings.apk","sdcard_setting","SD card","SD 卡",
"Settings.apk","battery_info_status_label","Battery status:","电池状态：",
"Settings.apk","battery_info_power_label","Power plug:","是否已插电：",
"Settings.apk","battery_info_scale_label","Battery scale:","电池电量：",
"Settings.apk","battery_info_level_label","Battery level:","电池电量：",
"Settings.apk","battery_info_health_label","Battery health:","电池运行状况：",
"Settings.apk","battery_info_technology_label","Battery technology:","电池技术：",
"Settings.apk","battery_info_voltage_label","Battery voltage:","电池电压：",
"Settings.apk","battery_info_voltage_units","mV","mV",
"Settings.apk","battery_info_temperature_label","Battery temperature:","电池温度：",
"Settings.apk","battery_info_temperature_units","° C","° C",
"Settings.apk","battery_info_uptime","Time since boot:","启动后的时间：",
"Settings.apk","battery_info_awake_battery","Awake time on battery:","使用电池电量的未休眠时间：",
"Settings.apk","battery_info_awake_plugged","Awake time when charging:","充电时的唤醒时间：",
"Settings.apk","battery_info_screen_on","Screen ON time:","屏幕开启时间：",
"Settings.apk","battery_info_status_unknown","Unknown","未知",
"Settings.apk","battery_info_status_charging","Charging","正在充电",
"Settings.apk","battery_info_status_charging_ac","(AC)","（交流电）",
"Settings.apk","battery_info_status_charging_usb","(USB)","(USB)",
"Settings.apk","battery_info_status_discharging","Discharging","正在耗电",
"Settings.apk","battery_info_status_not_charging","Not charging","未在充电",
"Settings.apk","battery_info_status_full","Full","电量充足",
"Settings.apk","battery_info_power_unplugged","Unplugged","未插电",
"Settings.apk","battery_info_power_ac","AC","交流电",
"Settings.apk","battery_info_power_usb","USB","USB",
"Settings.apk","battery_info_power_ac_usb","AC+USB","交流电 + USB",
"Settings.apk","battery_info_power_unknown","Unknown","未知",
"Settings.apk","battery_info_health_unknown","Unknown","未知",
"Settings.apk","battery_info_health_good","Good","正常",
"Settings.apk","battery_info_health_overheat","Overheat","过热",
"Settings.apk","battery_info_health_dead","Dead","没电",
"Settings.apk","battery_info_health_over_voltage","Over voltage","过电压",
"Settings.apk","battery_info_health_unspecified_failure","Unknown error","未知错误",
"Settings.apk","battery_info_health_cold","Cold","电量低",
"Settings.apk","bluetooth","Bluetooth","蓝牙",
"Settings.apk","bluetooth_visibility","Discoverable","可检测性",
"Settings.apk","bluetooth_is_discoverable","Visible to all nearby Bluetooth devices (%1$s)","让附近所有的蓝牙设备均可检测到（%1$s）",
"Settings.apk","bluetooth_is_discoverable_always","Visible to all nearby Bluetooth devices","让附近所有的蓝牙设备均可检测到",
"Settings.apk","bluetooth_not_visible_to_other_devices","Not visible to other Bluetooth devices","不让其他蓝牙设备检测到",
"Settings.apk","bluetooth_only_visible_to_paired_devices","Only visible to paired devices","仅让已配对的设备检测到",
"Settings.apk","bluetooth_not_discoverable","Make device discoverable","可以检测到设备",
"Settings.apk","bluetooth_visibility_timeout","Visibility timeout","检测超时设置",
"Settings.apk","bluetooth_visibility_timeout_summary","Set how long device will be discoverable","设置可检测到设备的时间",
"Settings.apk","bluetooth_lock_voice_dialing","Lock voice dialing","锁定语音拨号",
"Settings.apk","bluetooth_lock_voice_dialing_summary","Prevent use of the bluetooth dialer when the screen is locked","屏幕锁定时停止使用蓝牙拨号器",
"Settings.apk","bluetooth_devices","Bluetooth devices","蓝牙设备",
"Settings.apk","bluetooth_device_name","Device name","设备名称",
"Settings.apk","bluetooth_device_details","Device settings","设备设置",
"Settings.apk","bluetooth_profile_details","Profile settings","配置文件设置",
"Settings.apk","bluetooth_name_not_set","No name set, using account name","未设置名称，使用帐户名",
"Settings.apk","bluetooth_scan_for_devices","Scan for devices","扫描查找设备",
"Settings.apk","bluetooth_rename_device","Rename phone","重命名手机",
"Settings.apk","bluetooth_rename_button","Rename","重命名",
"Settings.apk","bluetooth_disconnect_title","Disconnect?","断开连接？",
"Settings.apk","bluetooth_disconnect_all_profiles","This will end your connection with:<br><b>%1$s</b>","此操作将会断开您与以下设备的连接：<br><b>%1$s</b>",
"Settings.apk","bluetooth_disable_profile_title","Disable profile?","要停用配置文件吗？",
"Settings.apk","bluetooth_disable_profile_message","This will disable:<br><b>%1$s</b><br><br>From:<br><b>%2$s</b>","此操作将停用：<br><b>%1$s</b><br><br>来自：<br><b>%2$s</b>",
"Settings.apk","bluetooth_connected","Connected","已连接",
"Settings.apk","bluetooth_connected_no_headset","Connected (no phone)","已连接（无手机）",
"Settings.apk","bluetooth_connected_no_a2dp","Connected (no media)","已连接（无媒体）",
"Settings.apk","bluetooth_connected_no_headset_no_a2dp","Connected (no phone or media)","已连接（没有手机或媒体信号）",
"Settings.apk","bluetooth_disconnected","Disconnected","已断开连接",
"Settings.apk","bluetooth_disconnecting","Disconnecting…","正在断开连接...",
"Settings.apk","bluetooth_connecting","Connecting…","正在连接...",
"Settings.apk","bluetooth_pairing","Pairing…","正在配对...",
"Settings.apk","bluetooth_device","Unnamed Bluetooth device","未命名的蓝牙设备",
"Settings.apk","progress_scanning","Searching","正在搜索",
"Settings.apk","bluetooth_no_devices_found","No nearby Bluetooth devices were found.","未在附近找到蓝牙设备。",
"Settings.apk","bluetooth_notif_ticker","Bluetooth pairing request","蓝牙配对请求",
"Settings.apk","bluetooth_notif_title","Pairing request","配对请求",
"Settings.apk","bluetooth_notif_message","Touch to pair with %1$s.","触摸可与%1$s配对。",
"Settings.apk","bluetooth_show_received_files","Show received files","显示接收到的文件",
"Settings.apk","device_picker","Bluetooth device chooser","蓝牙设备选择器",
"Settings.apk","bluetooth_permission_request","Bluetooth permission request","蓝牙权限请求",
"Settings.apk","bluetooth_ask_enablement","An app wants to turn on Bluetooth. Allow?","某个应用想要打开蓝牙。允许该程序打开蓝牙吗？",
"Settings.apk","bluetooth_ask_discovery","An app on your phone wants to make your phone discoverable by other Bluetooth devices for %1$d seconds. Allow?","您手机上的某个应用想让其他蓝牙设备在 %1$d 秒内检测到您的手机。允许该程序执行相应操作吗？",
"Settings.apk","bluetooth_ask_lasting_discovery","An app on your phone wants to make your phone “always discoverable” by other Bluetooth devices. Allow?","您手机上的某个应用想让其他蓝牙设备“一直可检测到”您的手机。允许该程序执行相应操作吗？",
"Settings.apk","bluetooth_ask_enablement_and_discovery","An app on your phone wants to turn on Bluetooth and make your phone discoverable by other devices for %1$d seconds. Allow?","您手机上的某个应用想要打开蓝牙，以便其他设备可在 %1$d 秒内检测到您的手机。允许该程序打开蓝牙吗？",
"Settings.apk","bluetooth_ask_enablement_and_lasting_discovery","An app on your phone wants to turn on Bluetooth and make your phone discoverable by other devices. Allow?","您手机上的某个应用想要打开蓝牙，以便其他设备可检测到您的手机。允许该程序打开蓝牙吗？",
"Settings.apk","bluetooth_turning_on","Turning Bluetooth on…","正在打开蓝牙...",
"Settings.apk","bluetooth_turning_off","Turning Bluetooth off…","正在关闭蓝牙…",
"Settings.apk","bluetooth_auto_connect","Auto-connect","自动连接",
"Settings.apk","bluetooth_connection_permission_request","Bluetooth connection request","蓝牙连接请求",
"Settings.apk","bluetooth_connection_notif_message","Touch to connect to \"%1$s\".","触摸可连接到“%1$s”。",
"Settings.apk","bluetooth_connection_dialog_text","Do you want to connect to \"%1$s\"?","要连接到“%1$s”吗？",
"Settings.apk","bluetooth_phonebook_request","Phone book request","电话簿请求",
"Settings.apk","bluetooth_pb_acceptance_dialog_text","%1$s wants to access your contacts and call history. Give access to %2$s?","%1$s想访问您的联系人信息和通话记录。要向%2$s授予访问权限吗？",
"Settings.apk","bluetooth_pb_remember_choice",""Don't ask again"","下次不再询问",
"Settings.apk","date_and_time","Date & time settings","日期和时间设置",
"Settings.apk","date_time_12_hour_sample","1:00 pm","下午 1:00",
"Settings.apk","date_time_24_hour_sample","13:00","13:00",
"Settings.apk","choose_timezone","Choose time zone","选择时区",
"Settings.apk","is_inaccurate_proximity_title","In-accurate proximity","距离感应",
"Settings.apk","is_inaccurate_proximity_summary","Work-around for inaccurate proximity sensors, this will force phone to turn on the screen after the call is ended.","使用距离感应唤醒屏幕，这是专门针对距离感应不工作的",
"Settings.apk","normal_date_format","Regional (%s)","所在区域 (%s)",
"Settings.apk","display_preview_label","Preview:","预览:",
"Settings.apk","display_font_size_label","Font size:","字号：",
"Settings.apk","intent_sender_sendbroadcast_text","Send broadcast","发送broadcast",
"Settings.apk","intent_sender_action_label","Action:","Action:",
"Settings.apk","intent_sender_startactivity_text","Start activity","启动activity",
"Settings.apk","intent_sender_resource_label","Resource:","Resource:",
"Settings.apk","intent_sender_account_label","Account:","帐户:",
"Settings.apk","proxy_settings_title","Proxy settings","代理设置",
"Settings.apk","proxy_clear_text","Clear","清除",
"Settings.apk","proxy_port_label","Proxy port","代理服务器端口",
"Settings.apk","proxy_exclusionlist_label","Bypass proxy for","对以下网址不使用代理",
"Settings.apk","proxy_exclusionlist_hint","example.com,mycomp.test.com,localhost","example.com,mycomp.test.com,localhost",
"Settings.apk","proxy_defaultView_text","Restore defaults","恢复默认设置",
"Settings.apk","proxy_action_text","Done","完成",
"Settings.apk","proxy_hostname_label","Proxy hostname","代理服务器主机名",
"Settings.apk","proxy_hostname_hint","proxy.example.com","proxy.example.com",
"Settings.apk","proxy_error","Attention","注意",
"Settings.apk","proxy_error_dismiss","OK","确定",
"Settings.apk","proxy_error_invalid_host",""The hostname you typed isn't valid."","您键入的主机名无效。",
"Settings.apk","proxy_error_invalid_exclusion_list",""The exclusion list you typed isn't properly formatted. Type a comma-separated list of excluded domains."","您键入的排除列表的格式不正确。请键入以逗号分隔的排除域列表。",
"Settings.apk","proxy_error_empty_port","You need to complete the port field.","您需要填写端口字段。",
"Settings.apk","proxy_error_empty_host_set_port","The port field must be empty if the host field is empty.","如果主机字段为空，则端口字段必须为空。",
"Settings.apk","proxy_error_invalid_port",""The port you typed isn't valid."","您键入的端口无效。",
"Settings.apk","proxy_warning_limited_support","The HTTP proxy is used by the browser but may not be used by the other apps.","浏览器会使用 HTTP 代理，但其他应用可能不会使用。",
"Settings.apk","radio_info_signal_location_label","Location:","地点：",
"Settings.apk","radio_info_neighboring_location_label","Neighboring CID:","相邻的 CID：",
"Settings.apk","radio_info_data_attempts_label","Data attempts:","数据尝试次数：",
"Settings.apk","radio_info_gprs_service_label","GPRS service:","GPRS 服务：",
"Settings.apk","radio_info_roaming_label","Roaming:","漫游：",
"Settings.apk","radio_info_imei_label","IMEI:","移动通信国际识别码：",
"Settings.apk","radio_info_call_redirect_label","Call redirect:","呼叫重定向：",
"Settings.apk","radio_info_ppp_resets_label","Number of PPP reset since boot:","启动后重置 PPP 的次数：",
"Settings.apk","radio_info_gsm_disconnects_label","GSM disconnects:","GSM 断开连接：",
"Settings.apk","radio_info_current_network_label","Current network:","当前网络：",
"Settings.apk","radio_info_data_successes_label","Data successes:","数据成功：",
"Settings.apk","radio_info_ppp_received_label","PPP received:","已收到 PPP：",
"Settings.apk","radio_info_gsm_service_label","GSM service:","GSM 服务：",
"Settings.apk","radio_info_signal_strength_label","Signal strength:","信号强度:",
"Settings.apk","radio_info_call_status_label","Call status:","呼叫状态：",
"Settings.apk","radio_info_ppp_sent_label","PPP sent:","已发送 PPP：",
"Settings.apk","radio_info_radio_resets_label","Radio resets:","无线通信重置：",
"Settings.apk","radio_info_message_waiting_label","Message waiting:","消息等待：",
"Settings.apk","radio_info_phone_number_label","Phone number:","手机号码：",
"Settings.apk","radio_info_band_mode_label","Select radio band","选择无线通信频道",
"Settings.apk","radio_info_network_type_label","Network type:","网络类型：",
"Settings.apk","radio_info_set_perferred_label","Set preferred network type:","设置首选网络类型：",
"Settings.apk","radio_info_ping_ipaddr","Ping IpAddr:","Ping IP 地址：",
"Settings.apk","radio_info_ping_hostname","Ping Hostname(www.google.com):","Ping 主机名 (www.google.com)：",
"Settings.apk","radio_info_http_client_test","HTTP Client test:","HTTP 客户端测试：",
"Settings.apk","ping_test_label","Run ping test","运行 ping 测试",
"Settings.apk","radio_info_smsc_label","SMSC:","SMSC：",
"Settings.apk","radio_info_smsc_update_label","Update","更新",
"Settings.apk","radio_info_smsc_refresh_label","Refresh","刷新",
"Settings.apk","radio_info_toggle_dns_check_label","Toggle DNS check","切换 DNS 检查",
"Settings.apk","oem_radio_info_label","OEM-specific Info/Settings","特定 OEM 的信息/设置",
"Settings.apk","band_mode_title","Set GSM/UMTS band","设置 GSM/UMTS 波段",
"Settings.apk","band_mode_loading","Loading band list…","正在载入波段列表...",
"Settings.apk","band_mode_set","Set","设置",
"Settings.apk","band_mode_failed","Unsuccessful","失败",
"Settings.apk","band_mode_succeeded","Successful","成功",
"Settings.apk","sdcard_changes_instructions","Changes take effect when USB cable is reconnected.","重新连接 USB 线后更改就会生效。",
"Settings.apk","sdcard_settings_screen_mass_storage_text","Enable USB mass storage","启用 USB 大容量存储设备",
"Settings.apk","sdcard_settings_total_bytes_label","Total bytes:","总字节数：",
"Settings.apk","sdcard_settings_not_present_status","No SD card.","无 SD 卡。",
"Settings.apk","sdcard_settings_available_bytes_label","Available bytes:","可用的字节数：",
"Settings.apk","sdcard_settings_mass_storage_status","SD card is being used as a mass storage device.","计算机正将 SD 卡用作大容量存储设备。",
"Settings.apk","sdcard_settings_unmounted_status",""It's now safe to remove the SD card."","现在可以安全地移除 SD 卡了。",
"Settings.apk","sdcard_settings_bad_removal_status","SD card was removed while still in use!","SD 卡仍在使用中便被移除！",
"Settings.apk","sdcard_settings_used_bytes_label","Used bytes:","已使用的字节数：",
"Settings.apk","sdcard_settings_scanning_status","Scanning SD card for media…","正从 SD 卡扫描媒体...",
"Settings.apk","sdcard_settings_read_only_status","SD card mounted read-only.","已将 SD 卡装载为只读设备。",
"Settings.apk","skip_label","Skip","跳过",
"Settings.apk","next_label","Next","下一步",
"Settings.apk","language_picker_title","Language","语言",
"Settings.apk","activity_picker_label","Choose activity","选择活动",
"Settings.apk","device_info_label","Device info","设备信息",
"Settings.apk","battery_info_label","Battery info","电池信息",
"Settings.apk","display_label","Screen","屏幕",
"Settings.apk","phone_info_label","Phone info","手机信息",
"Settings.apk","sd_card_settings_label","SD card","SD 卡",
"Settings.apk","proxy_settings_label","Proxy settings","代理设置",
"Settings.apk","cancel","Cancel","取消",
"Settings.apk","settings_label","Settings","设置",
"Settings.apk","settings_label_launcher","Settings","设置",
"Settings.apk","settings_shortcut","Settings shortcut","设置快捷方式",
"Settings.apk","airplane_mode","Airplane mode","飞行模式",
"Settings.apk","radio_controls_title","More…","更多...",
"Settings.apk","wireless_networks_settings_title","Wireless & networks","无线和网络",
"Settings.apk","radio_controls_summary","Manage Wi-Fi, Bluetooth, airplane mode, mobile networks, & VPNs","管理 Wi-Fi、蓝牙、飞行模式、移动网络和 VPN",
"Settings.apk","roaming","Data roaming","移动数据网络漫游",
"Settings.apk","roaming_enable","Connect to data services when roaming","漫游时连接到移动数据网络服务",
"Settings.apk","roaming_disable","Connect to data services when roaming","漫游时连接到移动数据网络服务",
"Settings.apk","roaming_reenable_message","You have lost data connectivity because you left your home network with data roaming turned off.","移动数据网络连接已断开，因为您已离开本地网络并关闭了移动数据网络漫游功能。",
"Settings.apk","roaming_turn_it_on_button","Turn it on","将其启用",
"Settings.apk","roaming_warning","When you allow data roaming, you may incur significant roaming charges!","请注意，允许移动数据网络漫游可能会产生高额漫游费！",
"Settings.apk","roaming_reenable_title","Allow data roaming?","允许移动数据网络漫游吗？",
"Settings.apk","networks","Operator selection","运营商选择",
"Settings.apk","sum_carrier_select","Choose a network operator","选择网络运营商",
"Settings.apk","date_and_time_settings_title","Date & time","日期和时间",
"Settings.apk","date_and_time_settings_title_setup_wizard","Set date and time","设置日期和时间",
"Settings.apk","date_and_time_settings_summary","Set date, time, time zone, & formats","设置日期、时间、时区和格式",
"Settings.apk","date_time_auto","Automatic date & time","自动确定日期和时间",
"Settings.apk","date_time_auto_summaryOn","Use network-provided time","使用网络上的时间",
"Settings.apk","date_time_auto_summaryOff","Use network-provided time","使用网络上的时间",
"Settings.apk","zone_auto","Automatic time zone","自动确定时区",
"Settings.apk","zone_auto_summaryOn","Use network-provided time zone","使用网络上的时区",
"Settings.apk","zone_auto_summaryOff","Use network-provided time zone","使用网络上的时区",
"Settings.apk","date_time_24hour","Use 24-hour format","使用 24 小时格式",
"Settings.apk","date_time_set_time","Set time","设置时间",
"Settings.apk","date_time_set_timezone","Select time zone","选择时区",
"Settings.apk","date_time_set_date","Set date","设置日期",
"Settings.apk","date_time_date_format","Choose date format","选择日期格式",
"Settings.apk","zone_list_menu_sort_alphabetically","Sort alphabetically","按字母顺序排序",
"Settings.apk","zone_list_menu_sort_by_timezone","Sort by time zone","按时区排序",
"Settings.apk","date_picker_title","Date","日期",
"Settings.apk","time_picker_title","Time","时间",
"Settings.apk","biometric_weak_improve_matching_title","Improve face matching","改善面部匹配",
"Settings.apk","biometric_weak_liveliness_title","Liveness check","真人判断",
"Settings.apk","biometric_weak_liveliness_summary","Require eye blink while unlocking","解锁时需要眨眼",
"Settings.apk","lock_after_timeout","Automatically lock","自动锁定",
"Settings.apk","lock_after_timeout_summary","%1$s after sleep","休眠 %1$s后",
"Settings.apk","show_owner_info_on_lockscreen_label","Show owner info on lock screen","在锁定屏幕上显示机主信息",
"Settings.apk","owner_info_settings_title","Owner info","机主信息",
"Settings.apk","owner_info_settings_edit_text_hint","Type text to display on the lock screen","键入要在锁定屏幕上显示的文字",
"Settings.apk","location_settings_title","Location services","位置服务",
"Settings.apk","security_settings_title","Security","安全",
"Settings.apk","security_settings_summary","Set My Location, screen unlock, SIM card lock, credential storage lock","设置我的位置、屏幕解锁、SIM 卡锁定和凭据存储锁定",
"Settings.apk","cdma_security_settings_summary","Set My Location, screen unlock, credential storage lock","设置我的位置、屏幕解锁和凭据存储锁定",
"Settings.apk","security_passwords_title","Passwords","密码",
"Settings.apk","crypt_keeper_settings_title","Encryption","加密",
